short_id	faixa	marca	classe	categoria	nome	numero	evidencias	praise	texto	pdf_id
0129	ambiguo	✓	adicionar_material	Cifra	Eis-me aqui pra te servir		nome~+classe		adicionar como Cifra no 0127	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXbHpMVzFsSUdGeGRXa2djSEpoSUhSbElITmxjblpwY2k5RGFXWnlZUzV3WkdZPS5wZGY=
012a	media	✓	adicionar_junto_com	Cifra	Eis-me ó Salvador		nome~	1edeacbf	adicionar como Cifra junto com 012b	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXbHpMVzFsSU1PeklGTmhiSFpoWkc5eUwwTnBabkpoTG5Ca1pnPT0ucGRm
012b	ambiguo	✓	criar_praise	Partitura	Eis-me ó Salvador Aqui		num+slug	1edeacbf	Criar praise e adicionar como Choir	QXZ1bHNvcy8yOTEucGRm
012c	faltante	✓	adicionar_material	Cifra	Ele está agindo		nome	7dbd2f96	adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJR1Z6ZE1PaElHRm5hVzVrYnk5RGFXWnlZUzV3WkdZPS5wZGY=
012d	sem_louvor	✓	criar_praise	Cifra	Ele está vivo				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJR1Z6ZE1PaElIWnBkbTh2UTJsbWNtRXVjR1JtLnBkZg==
012e	sem_louvor	✓	criar_praise	Cifra	Ele vem				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJSFpsYlM5RGFXWnlZUzV3WkdZPS5wZGY=
012f	sem_louvor	✓	criar_praise	Cifra	Ele vem pra te salvar				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJSFpsYlNCd2NtRWdkR1VnYzJGc2RtRnlMME5wWm5KaExuQmtaZz09LnBkZg==
0130	sem_louvor	✓	criar_praise	Cifra	Ele virá				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJSFpwY3NPaEwwTnBabkpoTG5Ca1pnPT0ucGRm
0131	media	✓	adicionar_material	Partitura	Ele é Exaltado		nome+kind-unico	061f4822	adicionar como Choir	QXZ1bHNvcy8zMDMucGRm
0134	ambiguo	✓	nao_levar	Cifra	Ele é a minha alegria		num+slug	f5b3b08d	Não precisa levar.	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJTU9wSUdFZ2JXbHVhR0VnWVd4bFozSnBZUzlEYVdaeVlTNXdaR1k9LnBkZg==
0135	faltante	✓	adicionar_material	Cifra	Ele é a minha força		nome	6c373901	adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJTU9wSUdFZ2JXbHVhR0VnWm05eXc2ZGhMME5wWm5KaExuQmtaZz09LnBkZg==
0136	faltante	✓	(sem texto)	Cifra	Ele é exaltado		nome	061f4822		QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJTU9wSUdWNFlXeDBZV1J2TDBOcFpuSmhMbkJrWmc9PS5wZGY=
0137	media	✓	(sem texto)	Partitura	Ele é o Leão da Tribo de Judá		hash-so	5e040fe5		YXNzZXRzL0F2dWxzb3MgRGl2ZXJzb3MvMmNkMjcxMGEtYmE1MC00MWY2LThjOWUtNGE5MjIyYThiMjRjLnBkZg
0138	sem_louvor	·	adicionar_junto_com	Cifra	Ele é o Leão da tribo de Judá				adicionar como Cifra junto com 0137	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJTU9wSUc4Z1RHWERvMjhnWkdFZ2RISnBZbThnWkdVZ1NuVmt3NkV2UTJsbWNtRXVjR1JtLnBkZg==
0139	sem_louvor	✓	criar_praise	Cifra	Ele é o Senhor Jeová				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJTU9wSUc4Z1UyVnVhRzl5SUVwbGIzYkRvUzlEYVdaeVlTNXdaR1k9LnBkZg==
013a	sem_louvor	·	criar_praise	Cifra	Ele é o meu Senhor				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxJTU9wSUc4Z2JXVjFJRk5sYm1odmNpOURhV1p5WVM1d1pHWT0ucGRm
013b	sem_louvor	✓	criar_praise	Cifra	Elevo a minha voz				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxkbThnWVNCdGFXNW9ZU0IyYjNvdlEybG1jbUV1Y0dSbS5wZGY=
013c	sem_louvor	✓	criar_praise	Partitura	Elevo a minha voz				Criar praise e adicionar como CHoir junto com 013b	MjAwMzIwMjYvRWxldm8gYSBtaW5oYSB2b3ovQ29yby5wZGY=
013d	sem_louvor	✓	criar_praise	Cifra	Elevo os meus olhos				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXeGxkbThnYjNNZ2JXVjFjeUJ2YkdodmN5OURhV1p5WVM1d1pHWT0ucGRm
013e	media	✓	(sem texto)	Partitura	Em Breve Sei (Não Mais Dor)		nome~+hash	07260914		QXZ1bHNvcy8xMTIzLnBkZg==
013f	ambiguo	✓	nao_levar	Partitura	Em Nada Ponho a Minha Fé		num	05a9b42f	Não precisa levar	QXZ1bHNvcy8zMTMucGRm
0140	media	✓	(sem texto)	Partitura	Em Oração (Aos Olhos Do Céu)		hash-so	d39f2ea5		QXZ1bHNvcy8xMDMucGRm
0141	alta	✓	(sem texto)	Partitura	Em Suas Mãos		nome+hash	4fcb8dd8		QXZ1bHNvcy8zMTcucGRm
0143	ambiguo	✓	(sem texto)	Cifra	Em breve, mui breve (Maranata)		nome~	2e593a7a		MDYxMTIwMjUvRW0gYnJldmUsIG11aSBicmV2ZSAoTWFyYW5hdGEpL0NpZnJhLnBkZg==
0144	ambiguo	✓	(sem texto)	Partitura	Em breve, mui breve (Maranata)		nome~	2e593a7a		MDYxMTIwMjUvRW0gYnJldmUsIG11aSBicmV2ZSAoTWFyYW5hdGEpL1BhcnRpdHVyYS5wZGY=
0145	ambiguo	·	nao_levar	Cifra	Em caminhos de dor		num+slug	6516d4b4	Não precisa levar	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXMGdZMkZ0YVc1b2IzTWdaR1VnWkc5eUwwTnBabkpoTG5Ca1pnPT0ucGRm
0146	media	✓	manter_coldigom	Cifra	Em meio a multidão		num+slug+kind-unico	445aa22c	Manter do coldigom	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXMGdiV1ZwYnlCaElHMTFiSFJwWk1PamJ5OURhV1p5WVM1d1pHWT0ucGRm
0147	faltante	✓	adicionar_material	Cifra	Em obediência, servi ao Senhor		nome	1a202311	adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXMGdiMkpsWkduRHFtNWphV0VzSUhObGNuWnBJR0Z2SUZObGJtaHZjaTlEYVdaeVlTNXdaR1k9LnBkZg==
0148	sem_louvor	✓	criar_praise	Cifra	Em silêncio				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXMGdjMmxzdzZwdVkybHZMME5wWm5KaExuQmtaZz09LnBkZg==
0149	ambiguo	✗	criar_praise	Cifra	Em tua presença		nome~	4fcf0944	Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXMGdkSFZoSUhCeVpYTmxic09uWVM5RGFXWnlZUzV3WkdZPS5wZGY=
014a	media	✓	(sem texto)	Partitura	Emanuel, Salvador, Deus forte (Voltará)		nome~+hash	982ea1d7		QXZ1bHNvcy8xMDUwLnBkZg==
014b	sem_louvor	✓	criar_praise	Cifra	Enche-me Espírito				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXNWphR1V0YldVZ1JYTnd3NjF5YVhSdkwwTnBabkpoTG5Ca1pnPT0ucGRm
014c	sem_louvor	✓	criar_praise	Cifra	Enquanto eu viver				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXNXhkV0Z1ZEc4Z1pYVWdkbWwyWlhJdlEybG1jbUV1Y0dSbS5wZGY=
014d	alta	✓	(sem texto)	Partitura	Enquanto, ó Salvador		nome+hash	80196f3e		QXZ1bHNvcy8zMjUucGRm
